U%,Density,Thermal_Conductivity,IV,Digit1,Digit2,Digit3,0,1,3,5,10,15,20,22,24,25,25.001,26,28,30,35,40,45,47,49,50,50.001,51,53,55,60,65,70,72,74,75,75.001,76,78,80,85,90,95,97,99,100,100.001,101,103,105,110,115,120,122,124,125
5.0,7731.200000000001,2.9,1,,,,228.730126,268.327278,289.527368,278.50151,300.918095,324.879351,357.17143,387.388035,416.861397,471.755962,206.101954,250.178101,255.098389,255.560419,271.709491,275.501534,325.375169,339.224892,374.504233,427.594588,189.696081,225.46456,230.501478,236.901841,243.816263,259.318486,293.547918,304.460294,336.589656,387.236056,171.791609,201.491918,210.610854,212.7268,218.129263,232.852429,272.014723,287.30159,321.15241,356.709681,163.453826,188.09944,191.875021,199.20232,214.888459,216.537836,252.792924,260.487617,285.831714,330.069766
5.0,7731.200000000001,2.9,1,,,,253.99156,318.300062,337.102601,341.135923,339.493414,377.408796,405.913884,431.399859,461.13092,527.742462,236.667588,296.427941,316.409684,306.230683,309.374718,335.840629,368.018925,383.312194,420.474407,488.827872,214.397526,260.263259,284.404434,281.004798,282.21149,295.421576,325.890542,351.081506,385.741008,430.437164,198.275767,241.783976,244.432412,245.257273,245.787053,276.268453,305.353658,319.288201,357.450821,408.606449,179.211378,216.83439,230.709196,231.795602,239.391463,253.287506,279.259288,295.119427,332.695735,363.301116
5.0,7731.200000000001,2.9,1,,,,301.196335,388.983547,404.037873,408.072855,404.310454,432.051365,474.881014,497.329463,557.514683,593.699715,261.177564,341.087084,359.753375,361.597702,366.630618,383.589734,418.074678,445.313316,475.172844,521.715866,233.456139,300.002834,315.587086,312.833631,323.01517,337.437226,371.465323,402.86966,436.644612,455.084503,216.755836,271.668961,289.433319,288.385702,287.722446,304.971794,339.525547,370.210397,392.675146,417.794691,192.805864,248.316198,259.85287,261.576897,270.724011,283.40782,316.354946,343.58558,372.207295,401.473784
5.0,7731.200000000001,2.9,1,,,,351.547074,460.747628,464.773243,468.317845,479.061255,502.175542,559.467757,586.722284,623.743037,638.693342,307.70118,400.284504,412.95014,412.993585,416.292374,446.507189,491.462998,504.314058,548.748258,559.747165,271.116011,354.116986,360.060629,367.138193,372.763584,379.709793,415.844739,433.873633,465.262403,485.632433,237.475062,309.249594,313.771489,318.545801,322.045834,344.429833,378.32647,401.545656,422.670743,435.336776,218.665589,279.861001,291.536305,293.208083,296.841755,315.274305,358.16314,368.292687,396.774897,414.666482
5.0,7731.200000000001,2.9,1,,,,406.089425,530.41062,545.218472,554.279466,551.127538,569.625664,643.003004,652.198967,673.601576,681.902792,348.867183,462.701951,463.065671,467.306603,465.522165,488.735786,543.611821,552.936842,584.027765,586.233542,306.044024,401.976382,403.686197,400.210568,408.304442,427.218335,463.236892,482.16222,503.681721,506.618579,270.424798,342.917553,350.867276,354.235837,358.764946,381.527077,425.281451,447.485802,451.810468,468.478706,244.148062,322.362661,319.300598,324.696052,333.592759,350.827188,404.353848,412.15188,422.381972,430.740374
5.0,7731.200000000001,2.9,1,,,,472.236559,601.064409,626.963622,624.499364,640.902622,660.743997,702.282055,710.001063,722.48545,726.554356,401.328388,516.394541,521.628995,513.190178,520.466887,553.319257,595.266214,610.262849,610.777936,624.680872,350.486038,439.988746,453.914472,453.580273,453.595752,471.256255,503.924832,516.606747,506.380214,531.067152,301.990609,380.515842,395.61099,387.731543,386.055347,403.49757,439.418088,452.505778,458.440822,465.877727,274.403655,341.78597,356.423325,357.498835,361.727082,379.875085,418.422229,423.731654,436.86773,455.345384
5.0,7731.200000000001,2.9,1,,,,628.850351,871.982638,889.423972,880.353607,844.613378,815.14555,807.479947,800.362921,780.429039,762.662208,497.287798,674.845924,683.602088,653.218819,646.657473,625.886502,617.659704,611.668958,596.454853,595.661913,397.471294,539.921518,542.469299,540.118014,516.017237,531.916237,522.264951,519.329608,522.973079,521.625444,349.877356,478.520111,484.830757,465.299787,466.046332,470.634609,478.704315,475.592543,485.954503,485.576257,333.523539,452.862249,442.764984,441.948588,435.731717,456.321614,453.978204,451.176063,460.083273,456.646748
5.0,7731.200000000001,2.9,1,,,,638.17277,904.462945,911.940826,885.891629,853.299317,837.102918,794.356253,804.670883,774.125954,755.44925,496.910799,692.127197,699.077512,663.806018,646.598234,635.111378,632.475859,632.390896,609.263466,614.990091,416.58209,566.113861,555.975379,554.177558,538.355921,533.149569,534.258617,539.740779,533.941903,523.105555,368.775103,505.530842,508.315237,488.431395,477.272218,492.364481,486.890532,490.57455,481.178057,473.119472,323.122921,452.116683,450.643946,442.859259,436.589778,449.800372,453.227978,458.11452,451.62368,448.892768
5.0,7731.200000000001,2.9,1,,,,634.9608,913.786978,919.8353,903.31465,862.473737,833.091289,806.157693,794.768492,756.131889,757.506541,493.466219,708.500318,705.637335,673.872098,644.007647,640.054747,627.709008,631.179708,619.751464,606.794748,408.060408,566.470961,572.576035,552.586734,537.919526,532.269805,528.577552,532.928269,529.065488,512.236089,359.862783,496.238787,503.215837,487.306477,478.658663,476.711877,483.745415,491.118154,482.884661,480.903185,333.254565,472.171195,458.681849,457.517015,448.454778,450.0736,463.389523,469.185008,461.497518,462.763508
5.0,7731.200000000001,2.9,1,,,,590.590331,885.187336,883.086388,884.954795,857.408257,834.920517,797.26666,778.392937,763.24594,769.608176,464.325472,688.63794,687.994714,674.433,643.791857,640.109171,625.179915,606.559424,607.139458,608.625592,383.611362,555.294362,558.892619,551.544363,527.702186,531.522237,542.318574,537.062675,519.947344,520.641722,344.806451,490.018302,495.823454,482.946633,479.085776,480.176916,487.627674,487.783662,481.686643,484.934098,311.906104,454.001345,450.610807,448.347,442.264904,457.08048,457.721844,458.437691,458.18575,462.227056
5.0,7731.200000000001,2.9,1,,,,550.149098,826.086912,841.880457,838.956604,820.211063,814.165648,796.911463,790.923615,777.115115,776.751594,449.736726,661.244928,652.427089,653.117016,629.317093,623.219493,607.760732,606.439218,604.214888,587.019713,353.707743,505.927783,519.031865,519.90157,513.248901,518.053318,514.712253,509.891767,515.298569,506.664114,316.996835,452.588195,460.899365,463.478452,459.568487,467.776669,485.990119,481.620607,481.408627,486.379439,306.596362,433.677122,440.834737,432.800177,434.105657,444.576777,458.557582,464.182962,459.464705,460.249265
5.0,7731.200000000001,2.9,1,,,,515.045892,721.408293,762.92557,755.067802,778.311287,781.914357,786.458329,772.54084,759.84241,754.855488,420.574659,582.599114,609.96343,606.391765,611.134451,622.954565,629.777508,617.54497,619.379186,611.913789,345.545519,477.73255,507.325125,501.357729,506.970588,518.666181,527.313385,527.746658,524.142751,521.93305,306.245838,411.429266,436.392373,439.114221,449.388137,469.114206,489.072104,490.738404,495.327251,490.654049,292.049919,396.100933,419.48963,411.857451,429.249273,433.406609,449.786744,455.206732,462.1109,453.023916
