Enrichment,TD_Density,Irradiation_Vehicle,R,A,S,N_U-235,Radial_R,Axial_Z,0.0,1.0,3.0,5.0,10.0,15.0,20.0,22.0,24.0,25.0,25.001,26.0,28.0,30.0,35.0,40.0,45.0,47.0,49.0,50.0,50.001,51.0,53.0,55.0,60.0,65.0,70.0,72.0,74.0,75.0,75.001,76.0,78.0,80.0,85.0,90.0,95.0,97.0,99.0,100.0,100.001,101.0,103.0,105.0,110.0,115.0,120.0,122.0,124.0,125.0
5.0,9.864,RB,1,1,1,1.1141e+21,260.3889,-245.8115,230.841179,270.153262,279.060612,276.203014,295.596715,316.96779,360.372571,374.383396,407.097675,460.83305,207.928038,242.120052,249.475581,256.932283,274.37908,284.685918,319.404946,336.416069,367.112095,417.2736,189.701157,220.194462,238.445788,236.334444,233.459242,256.535244,291.904912,304.915708,332.663057,383.228337,168.237596,201.355244,211.375003,214.289786,220.411843,236.08101,264.905572,280.837423,307.831793,345.667719,153.833893,191.186347,194.944953,191.271533,204.794874,214.572154,245.303314,266.907785,279.031699,328.397672
5.0,9.864,RB,1,1,2,1.1141e+21,260.3889,-221.3115,252.732863,313.265868,336.021035,333.033558,341.991175,372.574668,410.443697,421.215769,475.939981,533.038503,229.067852,287.481781,300.221673,307.054774,314.546056,332.945145,365.603547,383.400456,421.75972,482.755587,213.216755,261.815507,269.430005,269.54788,277.03531,296.471695,341.889475,349.597699,372.606359,433.214363,192.98063,234.12765,253.241169,247.286629,254.471424,271.819039,296.381195,311.239013,353.487141,384.240758,169.129691,210.596794,228.097366,222.344811,229.056619,249.576783,267.726483,282.335721,326.408639,355.309423
5.0,9.864,RB,1,1,3,1.1141e+21,260.3889,-196.8115,304.117077,387.948261,396.889974,405.926413,409.595104,427.743433,481.483181,497.150383,556.287545,587.884318,261.740994,344.485606,354.806013,354.112267,360.204773,378.576272,414.735588,438.072982,480.697779,518.37562,229.5003,301.509491,311.405607,313.696403,317.474366,333.029445,360.032851,389.492008,424.295335,452.25889,208.827401,264.825284,274.98244,275.953834,281.038637,307.312328,330.316393,338.564186,379.176288,411.826447,188.1255,243.380611,249.231711,253.003068,260.560677,275.823854,305.771597,321.435211,343.478114,376.94336
5.0,9.864,RB,1,1,4,1.1141e+21,260.3889,-172.3115,348.246171,456.228988,463.121738,462.582181,481.200194,502.750427,554.17296,568.949682,614.058847,642.087154,301.983483,399.10831,398.630702,406.522467,408.680373,428.010268,485.251598,510.175506,528.148674,550.404847,267.374965,346.902145,356.911219,357.995573,346.345159,382.039766,410.516124,422.394064,463.937638,480.622464,233.289372,308.446546,308.100975,315.849664,310.62219,337.715719,369.116362,385.38127,413.756319,433.269779,212.254758,274.243798,281.769433,283.905514,287.222591,303.669524,331.947016,351.600195,377.19552,390.852253
5.0,9.864,RB,1,1,5,1.1141e+21,260.3889,-147.8115,405.281434,534.703463,547.512109,542.127896,533.366008,575.005048,633.609295,650.884435,670.416872,680.996698,350.677469,458.075494,458.597238,465.674523,463.991302,483.510906,538.748265,550.965508,576.664489,581.023992,302.668946,391.830934,394.187671,400.905833,397.610481,417.216919,464.29092,473.095095,496.462027,504.921059,270.999431,345.59731,345.505877,348.513692,346.972912,374.306174,420.070936,424.571346,438.668977,441.988343,242.644493,314.273443,321.580749,317.708366,314.14125,342.282479,375.221019,398.970007,416.708567,413.483444
5.0,9.864,RB,1,1,6,1.1141e+21,260.3889,-123.3115,476.046218,606.47455,622.151309,618.8605,630.846238,663.969877,704.8126,687.077693,690.96185,697.993397,391.874426,496.103331,507.685225,502.181103,518.32333,532.386538,559.137984,569.40009,577.75268,581.090137,326.57492,417.070838,427.416013,418.354201,421.188128,444.468035,477.148163,491.229604,489.211831,492.10383,277.486586,360.23635,367.003715,366.582155,370.734104,398.74153,424.267455,444.557073,446.983529,452.933452,263.386435,337.110302,341.664075,335.82004,341.736783,374.427118,403.801745,421.072743,422.494819,427.00625
5.0,9.864,RB,1,2,1,1.1141e+21,260.3889,-45.85,618.601657,872.166876,881.65358,853.17836,832.615315,828.306793,793.006163,783.043035,771.723987,772.318705,483.421505,669.74333,678.782315,654.613642,637.123872,628.056128,616.208556,621.201259,610.824417,594.157649,396.886691,532.353841,537.823363,524.378592,522.066294,520.397651,520.52494,522.334717,506.643325,511.076238,341.387926,460.826571,468.530312,462.106316,460.150954,471.633941,468.354397,463.531815,464.057651,464.895856,317.728603,426.904756,429.090891,423.695769,425.467525,430.607006,433.283688,432.874423,434.556147,434.624618
5.0,9.864,RB,1,2,2,1.1141e+21,260.3889,-21.35,635.0982,909.507361,901.880061,886.103634,840.910516,820.170333,799.222238,787.435545,763.756173,767.128243,500.941504,694.987815,687.129557,675.035686,641.840954,623.889596,607.676826,607.254322,608.232436,591.994585,399.893347,553.692073,548.402786,526.652147,515.254736,516.106941,515.253655,512.341794,505.820706,505.868686,348.945447,478.607832,481.341126,467.916211,462.43392,471.385029,466.32796,466.150117,463.571227,461.508351,327.878229,440.586272,442.81742,433.713854,429.322316,431.266584,443.890512,456.268006,450.852644,445.900396
5.0,9.864,RB,1,2,3,1.1141e+21,260.3889,3.15,634.871507,913.552324,910.776495,890.080126,853.865812,832.61199,795.590302,775.509368,759.173867,749.518934,484.202549,686.328413,696.439064,658.944892,629.772615,629.941268,610.479141,610.521741,596.424529,598.789315,392.976577,555.33201,558.720062,541.312277,525.956252,532.258825,533.681551,536.2933,524.524901,513.875265,357.408679,488.971054,496.564455,482.426768,460.787597,478.434834,469.200126,472.753207,467.534985,457.937941,323.6969,447.111979,455.810226,443.587199,433.837589,450.44471,446.704544,452.123916,456.75614,442.645132
