Enrichment,TD_Density,Irradiation_Vehicle,R,A,S,N_U-235,Radial_R,Axial_Z,0.0,1.0,3.0,5.0,10.0,15.0,20.0,22.0,24.0,25.0,25.001,26.0,28.0,30.0,35.0,40.0,45.0,47.0,49.0,50.0,50.001,51.0,53.0,55.0,60.0,65.0,70.0,72.0,74.0,75.0,75.001,76.0,78.0,80.0,85.0,90.0,95.0,97.0,99.0,100.0
5.0,,RB,1,1,1,,260.3889,-245.8115,226.915332,276.844183,281.676451,282.531415,290.810533,305.234558,357.3744,372.561241,402.695397,457.840582,205.263819,242.904267,249.948918,256.195519,259.514406,283.216194,316.946685,331.025445,358.917763,415.404667,180.493427,217.58204,223.376865,224.894186,240.066253,248.972565,278.489734,295.892192,313.560192,364.135652,165.785107,200.403532,211.274585,204.644393,207.90081,228.467893,259.715074,272.983388,293.055476,328.628849
5.0,,RB,1,1,2,,260.3889,-221.3115,254.14289,317.459527,330.484068,340.603468,347.378182,364.007402,396.404394,421.692772,465.496714,519.951788,232.383387,282.747951,302.13433,299.459516,311.236171,330.978703,357.617356,375.04494,427.241086,481.522197,206.471909,254.085276,266.566966,260.522315,280.113047,298.386197,324.899025,345.308772,380.883294,420.897756,187.188815,229.552579,237.059835,236.853369,255.323153,269.973241,294.156339,308.739884,335.527362,379.956706
5.0,,RB,1,1,3,,260.3889,-196.8115,298.165684,375.671221,399.320966,403.805562,407.483934,423.905509,464.170246,494.848231,542.887841,587.208264,261.264214,333.677791,358.669128,348.46807,363.300203,369.202389,416.94902,427.412593,468.224768,504.154767,233.849333,296.037196,306.298779,305.80818,307.598467,328.353293,356.158397,381.895719,414.244094,449.345519,206.783507,265.639025,278.234191,274.785774,274.322479,293.021706,317.682514,341.53946,365.679255,405.351593
5.0,,RB,1,1,4,,260.3889,-172.3115,347.614231,450.056075,473.285682,462.411171,477.956669,491.427612,540.843961,567.463018,598.854093,626.163832,305.693949,392.417978,392.988362,398.043348,404.266946,423.151101,465.681422,481.662935,524.773043,541.464703,258.039776,339.747675,344.816892,351.51201,350.095687,363.838231,407.925103,425.886277,446.797729,469.167457,227.352924,302.934936,302.691695,303.368101,315.96978,332.055038,361.112684,379.507283,410.358553,420.114293
5.0,,RB,1,1,5,,260.3889,-147.8115,409.991,529.897482,538.155862,540.749054,536.941054,563.080544,631.63391,648.874263,661.446343,671.701017,340.430168,440.961971,449.034038,445.125366,447.011275,474.209143,511.784738,534.525325,553.923684,546.788161,287.34019,376.646197,380.093941,372.204653,379.269891,413.443417,456.069141,459.887802,484.776261,484.372668,255.779392,333.589426,335.937284,335.135325,337.277287,358.250859,389.931435,402.26928,413.301798,431.256075
5.0,,RB,1,1,6,,260.3889,-123.3115,479.823766,600.393232,608.089798,626.081734,628.534249,663.252658,678.009466,706.055273,702.964209,707.276976,384.714456,493.391927,517.048611,504.873188,504.388099,522.111164,558.208616,559.7282,558.824342,580.459799,328.577244,414.887782,417.375496,415.860967,423.933529,441.718629,485.641433,489.444302,493.081296,502.390314,285.133234,364.364901,378.042214,362.166069,371.666522,395.844653,428.146159,431.090101,436.497337,443.295531
5.0,,RB,1,2,1,,260.3889,-45.85,619.081089,868.657504,879.983967,877.51246,825.75221,804.934404,766.352765,762.344265,751.319823,732.247846,471.878063,643.71473,653.956201,641.140815,624.548096,612.572401,608.073222,592.247641,587.798622,576.351992,384.892903,523.062565,519.051967,515.224623,502.357356,502.201958,503.150487,492.857884,491.978314,484.969376,332.177565,440.088259,445.324845,440.549373,433.335595,449.857107,458.700269,445.426971,459.27704,454.549787
5.0,,RB,1,2,2,,260.3889,-21.35,634.032077,903.630278,892.814226,884.870332,842.516585,808.241432,799.952131,789.752388,758.755263,759.147595,490.712464,679.546201,682.303668,657.65723,629.909254,602.64768,607.72902,588.645353,584.280691,578.490187,393.419913,540.09777,545.499212,523.590737,511.420017,503.262838,500.179043,499.656759,496.868863,487.37907,343.374844,472.045576,472.986392,455.065104,436.380693,458.240078,457.71822,459.814985,457.971325,461.675198
5.0,,RB,1,2,3,,260.3889,3.15,627.107918,894.542953,907.24135,881.572998,850.796555,831.329943,794.30987,792.82389,773.277873,758.482956,492.472829,675.837989,693.192711,665.755414,640.370235,616.878238,597.335738,597.320732,590.008873,576.51402,385.554838,538.428079,548.044364,527.349803,509.97801,499.905668,513.511849,508.998418,503.149895,494.429333,343.300502,475.343718,478.829981,467.677423,450.819601,453.513622,464.376321,470.916657,459.870995,452.905016
