Enrichment,TD_Density,Irradiation_Vehicle,R,A,S,N_U-235,Radial_R,Axial_Z,0.0,1.0,3.0,5.0,10.0,15.0,20.0,22.0,24.0,25.0,25.001,26.0,28.0,30.0,35.0,40.0,45.0,47.0,49.0,50.0,50.001,51.0,53.0,55.0,60.0,65.0,70.0,72.0,74.0,75.0,75.001,76.0,78.0,80.0,85.0,90.0,95.0,97.0,99.0,100.0,100.001,101.0,103.0,105.0,110.0,115.0,120.0,122.0,124.0,125.0,125.001,126.0,128.0,130.0,135.0,140.0,145.0,147.0,149.0,150.0
0.711,10.96,RB,1,1,1,1.7602e+20,260.3889,-245.8115,40.0728689,48.9935917,50.2229722,52.0767492,61.8798937,72.4942637,88.2232,96.5221547,106.666472,122.857248,60.5868847,76.1597032,73.2441552,75.8082798,84.3034522,94.6817399,114.449035,122.732166,134.124853,153.294781,72.0270516,86.1363573,90.4359352,92.4331417,104.954613,114.324817,128.658235,138.719453,152.324843,171.445189,82.7834255,97.9037732,102.389705,103.216359,107.580093,125.101604,142.111083,147.99826,158.561412,184.541116,88.152846,102.385288,104.823859,109.495827,114.210326,130.550139,147.824677,156.981673,174.588134,196.457096,92.6133391,107.492122,113.332381,113.831521,122.267971,137.419761,157.617941,163.057515,177.94954,200.723329
0.711,10.96,RB,1,1,2,1.7602e+20,260.3889,-221.3115,46.5621055,56.8403661,61.7175575,66.5112036,75.7261857,92.3930921,110.884888,121.05833,137.897622,151.815151,76.4431259,97.28955,98.9303266,101.83331,109.513559,125.67333,141.758767,152.850709,171.084057,190.944601,89.3077459,113.282189,116.208358,121.020909,127.716167,144.724129,162.4189,175.147535,191.90294,212.798821,99.2723657,125.41781,128.816997,131.869533,139.258603,153.134053,171.952007,182.886976,203.908413,227.183767,107.614791,133.992309,136.373171,140.530755,147.505837,162.928444,181.658907,195.35308,211.018951,238.337698,113.510289,134.45848,141.952698,145.931806,155.394849,167.260237,187.929142,196.261692,216.335659,244.101849
0.711,10.96,RB,1,1,3,1.7602e+20,260.3889,-196.8115,54.1668198,72.0348104,77.5190548,76.8610974,91.4880186,109.877242,133.079478,148.582727,171.665595,189.590643,92.8295049,120.989982,124.653342,125.387876,138.806435,155.677756,180.694882,200.081785,224.620169,243.97385,115.754981,153.48741,153.526441,162.306828,162.506632,175.848616,199.2367,213.299144,241.345348,262.611307,126.84876,161.470121,165.847917,168.604639,174.436467,191.85193,215.157301,231.023377,254.315856,280.960128,130.314628,167.452294,174.047776,174.382099,184.855897,195.532341,223.69569,236.502426,260.393744,288.920164,133.525459,171.078927,175.12198,179.721694,188.093755,196.701282,224.893266,239.092948,260.21249,288.329552
0.711,10.96,RB,1,1,4,1.7602e+20,260.3889,-172.3115,62.2221519,82.9116675,91.0742437,92.8006786,116.883766,133.839257,171.63108,195.943066,205.074304,218.074012,115.787592,155.739491,158.443428,157.147297,168.537238,187.533076,223.932258,247.786053,254.419275,262.184227,135.866945,177.996827,186.79275,187.666661,195.364214,208.148525,253.162935,272.225128,282.902562,294.350932,151.325688,202.077432,203.039041,204.610971,217.679861,225.237424,265.067733,292.381704,292.752089,306.320042,156.432115,208.791836,208.63648,211.611875,221.520931,228.610515,274.007334,293.434635,300.12915,316.272207,159.794504,213.149304,215.798057,212.334795,221.075443,238.622513,273.949734,302.591245,307.754419,320.870342
0.711,10.96,RB,1,1,5,1.7602e+20,260.3889,-147.8115,73.5096334,97.4941963,104.145806,107.924489,130.12461,172.874347,202.407377,217.320513,234.300939,242.774404,140.250383,180.339068,187.073394,185.936852,200.934093,230.518079,262.123982,276.927809,291.888863,300.827062,167.760379,212.085254,221.635176,217.568327,229.064952,256.321324,292.390471,308.638495,318.614627,332.110059,182.567809,241.544327,242.362331,240.94877,244.055817,274.609929,303.96797,318.941796,328.224406,339.965624,188.271568,245.88345,244.394051,243.400789,252.352176,272.120763,319.174189,325.801767,337.663988,359.669886,190.264677,251.311306,256.058178,245.619345,257.072256,274.726793,318.563655,328.098034,337.800159,351.511332
0.711,10.96,RB,1,1,6,1.7602e+20,260.3889,-123.3115,83.335369,106.85126,122.387402,125.662536,154.573451,204.513463,236.376105,253.889825,265.464686,280.549022,171.27139,218.008978,222.660802,225.202799,239.097049,274.600712,301.801361,315.780533,326.273293,338.665509,204.907975,253.619793,264.906817,261.12008,277.522233,300.29042,330.874981,348.25529,364.36242,358.479139,217.167255,270.523443,284.685105,280.409765,290.689736,316.711784,343.877876,357.610978,365.448977,374.242012,224.123811,277.721936,284.885127,283.502472,292.687687,325.767487,348.142827,354.742687,365.928561,367.324553,223.109066,276.58883,285.983076,284.477071,293.715377,316.89636,348.211713,368.839937,367.957339,370.7499
0.711,10.96,RB,1,2,1,1.7602e+20,260.3889,-45.85,109.205087,154.577347,171.182043,183.605768,226.74012,276.274504,308.747363,319.351257,326.772875,331.356999,241.102342,321.582492,325.65654,334.180401,337.296528,354.235212,374.678084,384.539647,391.152704,386.91502,277.603878,368.872263,371.274074,372.3077,369.696605,387.509901,409.860964,407.577508,416.96429,411.818242,281.301501,386.70939,384.299009,373.590742,383.138905,405.718132,408.685715,419.452765,410.46718,412.9115,290.015401,396.142648,393.134362,388.78867,390.573093,399.370689,413.551057,415.852576,422.699735,415.866644,290.872183,393.676344,390.117329,386.790523,389.139649,398.375064,408.8384,413.324393,421.902294,411.092074
0.711,10.96,RB,1,2,2,1.7602e+20,260.3889,-21.35,113.92428,158.9355,173.792044,187.360651,235.607763,280.199801,316.71473,329.914637,347.860454,342.711813,254.989832,344.692056,341.872079,338.656639,350.4012,366.571444,379.139551,387.831624,394.828134,390.501346,285.824486,392.374403,391.784238,381.751324,386.64531,397.905537,410.804942,409.895123,417.100113,414.948863,295.189081,401.633525,401.423346,393.182237,389.894293,400.422398,412.947082,417.133654,415.992339,410.749856,293.359733,403.7107,398.658463,390.314892,395.793889,406.938337,419.587286,415.710976,416.10195,409.220381,292.795434,399.932322,398.883144,391.917696,395.452291,398.719614,410.072295,410.976001,421.015201,408.301369
0.711,10.96,RB,1,2,3,1.7602e+20,260.3889,3.15,113.412106,159.073128,180.122365,192.697968,236.762297,288.777581,318.913625,340.857478,338.950642,344.941403,251.801397,354.445753,353.03974,345.983663,357.835055,374.397807,392.754175,407.780429,406.344239,394.605121,283.781285,397.933748,397.615592,386.47885,389.200462,399.125788,408.153598,422.881032,420.948196,414.84753,293.279912,402.121218,412.652358,395.190622,401.250426,411.018154,406.862933,419.76281,414.143166,403.672117,292.992469,401.677236,401.256208,391.638203,395.82252,408.057412,412.159338,424.583091,414.470091,415.815347,296.848321,409.29881,404.780155,397.730133,403.659614,411.866433,417.750397,429.047873,425.266337,414.297302
0.711,10.96,RB,1,2,4,1.7602e+20,260.3889,27.65,106.906413,159.086237,170.570921,191.192579,233.260071,282.704221,313.072581,322.634692,335.716999,345.785141,233.574954,334.70446,343.420642,339.798674,347.328394,367.953994,384.57634,389.201548,388.571801,397.68244,266.676548,385.636645,386.549461,380.728918,385.08431,399.773618,412.42391,415.742313,416.62324,409.097187,279.69744,395.686327,392.869507,394.481673,400.356328,406.292039,418.430736,429.472389,414.293458,412.863504,281.365122,402.018315,403.674997,399.131949,392.736524,414.030954,416.121255,413.1949,411.492991,416.220487,280.826109,401.190845,403.642327,396.011158,395.746204,401.721187,410.536118,410.41794,415.604588,413.617074
0.711,10.96,RB,1,2,5,1.7602e+20,260.3889,52.15,98.6642247,148.188793,159.067824,177.169959,221.817208,277.130037,307.39516,317.159202,326.907718,329.184116,217.229112,314.570639,324.612558,323.844989,335.454497,355.562609,376.435156,387.219696,388.694402,383.716379,250.297566,360.927363,362.589795,359.239051,368.061995,383.905572,397.727018,399.895949,404.714941,399.244161,253.52913,365.809065,377.814061,372.145133,377.270013,402.870253,401.601325,399.204604,400.532394,400.710062,257.469698,366.798538,381.433941,371.895181,381.689708,400.01297,411.567232,408.167244,415.958095,412.112334,265.034683,380.086206,387.519689,385.144575,376.714045,396.304822,408.849049,418.730653,414.086984,409.707932
0.711,10.96,RB,1,2,6,1.7602e+20,260.3889,76.65,92.7477593,126.53158,142.883344,164.570048,204.22611,249.229187,289.302941,304.198493,316.723678,320.851104,201.249767,271.133006,283.682126,292.676051,311.371433,337.792104,364.762594,368.551654,378.439935,374.714771,232.43507,309.320762,325.256835,328.29717,348.478196,372.093644,402.365024,400.384278,399.025637,403.456683,247.152458,332.121285,348.198202,348.102925,365.66314,387.116455,405.202829,412.431398,406.71306,412.52743,250.835949,337.761434,357.015587,358.538342,366.753017,386.065863,411.150017,406.181327,418.835204,413.507772,246.116827,336.796896,350.176327,353.772949,363.243588,392.443013,401.149271,410.301352,413.313926,406.847669
0.711,10.96,RB,1,3,1,1.7602e+20,260.3889,154.111,60.5915017,86.5266997,91.9430432,98.5618379,117.098196,148.52323,197.459111,214.656954,241.610508,247.304669,117.291733,162.15528,169.002936,167.829756,182.178937,207.478,251.158206,272.856684,289.763099,301.680777,140.631401,193.687478,199.031465,199.569349,211.244977,228.216741,282.926627,300.475289,321.486785,328.646422,150.612135,212.643458,220.402766,215.880178,226.058049,250.061777,303.153059,323.585701,339.110272,352.952564,157.418595,223.794666,227.066464,228.534181,235.379983,251.530149,305.444649,326.115347,347.207577,350.257657,156.283383,222.974286,228.67972,227.116644,235.47262,255.689928,305.771519,326.640546,345.799816,355.032906
0.711,10.96,RB,1,3,2,1.7602e+20,260.3889,178.611,51.4175826,70.6626947,78.0481,80.1136447,99.3339824,119.394953,154.832023,172.129493,200.090187,215.203261,93.1818191,128.221737,136.005358,137.3753,149.495024,164.873645,204.527075,224.583163,255.303571,271.819379,113.49421,159.196502,164.762015,168.469465,174.989214,188.406849,225.974918,250.489776,274.685227,298.869343,123.511762,172.297116,182.066303,182.540684,192.34063,205.527439,241.475719,263.127091,296.465172,311.317153,126.452842,179.026389,190.798202,190.862677,200.482018,213.331381,246.634672,272.036315,304.494435,322.282194,130.700362,184.956166,189.386264,191.436538,202.143776,214.885372,255.642915,276.234281,304.833806,324.028008
0.711,10.96,RB,1,3,3,1.7602e+20,260.3889,203.111,43.7631422,54.9809133,64.2737336,70.7580697,78.172775,97.4334291,121.39876,137.329705,159.463393,182.786671,74.6406407,98.0821234,111.425995,115.848374,118.219003,137.341431,158.609807,174.822435,206.951697,237.292008,93.3692044,123.853629,131.106986,141.937859,142.553334,157.0294,179.123597,197.77269,231.30455,258.430584,100.02244,134.53299,145.810331,153.022031,155.66837,170.74564,191.855982,213.805184,244.476987,272.019652,104.807442,143.45891,153.766058,157.835337,160.053667,178.301896,203.185004,213.740088,248.338141,278.327978,106.95234,142.897541,160.182876,161.613524,168.75739,178.205316,208.791489,220.961399,259.618874,290.204013
