U%,Density,Thermal_Conductivity,IV,Digit1,Digit2,Digit3,N_U_235,0,1,3,5,10,15,20,22,24,26,26,27,29,31,36,41,46,48,50,52,52,53,55,57,62,67,72,74,76,78,78,79,81,83,88,93,98,100,102,104,104,105,107,109,114,119,124,126,128,130,130,131,133,135,140,145,150,152,154,156,156,157,159,161,166,171,176,178,180,182,182,183,185,187,192,197,202,204,206,208,208,209,211,213,218,223,228,230,232,234
0.35,10920.00,2.90,1.00,1.00,2.00,3.00,86300000000000000000.00,75.37,103.60,110.38,126.92,175.94,219.89,261.50,274.83,286.11,291.34,232.96,305.45,297.79,294.61,308.39,329.61,347.33,352.25,355.32,358.50,277.15,356.06,348.84,344.46,349.02,363.75,375.57,380.31,376.77,374.65,282.98,372.97,364.65,356.06,358.28,372.42,387.94,388.62,390.38,383.36,292.24,383.77,369.87,369.05,370.17,377.01,388.19,389.18,388.37,386.70,292.24,383.77,369.87,369.05,370.17,377.01,388.19,389.18,388.37,386.70,292.24,383.77,369.87,369.05,370.17,377.01,388.19,389.18,388.37,386.70,292.24,383.77,369.87,369.05,370.17,377.01,388.19,389.18,388.37,386.70,292.24,383.77,369.87,369.05,370.17,377.01,388.19,389.18,388.37,386.70
0.35,10920.00,2.90,1.00,1.00,2.00,2.00,86300000000000000000.00,75.51,100.99,110.06,125.97,174.80,218.79,259.61,273.34,284.99,291.50,233.55,299.42,291.89,291.17,300.02,321.64,344.47,348.09,354.18,352.28,270.96,350.13,344.61,338.28,347.40,362.63,370.21,374.04,379.44,375.14,285.13,369.04,362.49,349.88,352.95,364.35,377.04,380.03,379.22,379.62,284.75,370.13,362.87,355.65,355.61,365.62,378.59,378.77,383.58,383.80,284.75,370.13,362.87,355.65,355.61,365.62,378.59,378.77,383.58,383.80,284.75,370.13,362.87,355.65,355.61,365.62,378.59,378.77,383.58,383.80,284.75,370.13,362.87,355.65,355.61,365.62,378.59,378.77,383.58,383.80,284.75,370.13,362.87,355.65,355.61,365.62,378.59,378.77,383.58,383.80
0.35,10920.00,2.90,1.00,1.00,2.00,1.00,86300000000000000000.00,75.18,98.27,109.52,124.24,168.49,211.39,253.78,266.54,280.05,290.15,226.34,291.91,287.00,286.41,298.37,320.73,336.99,343.46,348.77,354.06,260.70,341.61,336.15,326.76,330.54,347.68,367.24,372.11,371.94,370.47,272.23,356.28,349.48,341.80,346.26,362.92,377.50,380.20,382.61,379.32,283.99,364.51,358.57,354.01,354.20,366.44,381.99,381.27,386.94,385.90,283.99,364.51,358.57,354.01,354.20,366.44,381.99,381.27,386.94,385.90,283.99,364.51,358.57,354.01,354.20,366.44,381.99,381.27,386.94,385.90,283.99,364.51,358.57,354.01,354.20,366.44,381.99,381.27,386.94,385.90,283.99,364.51,358.57,354.01,354.20,366.44,381.99,381.27,386.94,385.90
0.35,10920.00,2.90,1.00,1.00,1.00,6.00,86300000000000000000.00,60.98,75.03,81.32,88.70,115.36,148.89,191.65,207.76,220.37,230.87,157.63,191.10,188.66,192.99,201.89,229.07,263.13,276.45,291.88,297.24,192.91,236.94,232.06,231.12,239.43,259.97,295.02,308.79,317.13,325.52,208.75,254.22,251.25,247.33,256.50,276.22,311.11,318.57,330.05,336.11,211.90,259.77,258.66,259.19,261.85,284.81,320.10,327.76,333.29,342.38,211.90,259.77,258.66,259.19,261.85,284.81,320.10,327.76,333.29,342.38,211.90,259.77,258.66,259.19,261.85,284.81,320.10,327.76,333.29,342.38,211.90,259.77,258.66,259.19,261.85,284.81,320.10,327.76,333.29,342.38,211.90,259.77,258.66,259.19,261.85,284.81,320.10,327.76,333.29,342.38
0.35,10920.00,2.90,1.00,1.00,1.00,5.00,86300000000000000000.00,49.86,63.58,67.82,74.14,95.81,122.30,156.10,174.72,188.60,203.69,128.07,157.53,159.76,158.36,170.86,190.70,218.49,238.02,251.86,264.92,159.03,196.28,198.19,194.74,201.08,223.50,256.44,275.44,286.81,298.37,174.30,218.91,216.95,215.14,222.46,239.22,272.75,288.40,301.84,311.01,182.72,227.74,228.49,227.86,231.25,241.84,276.19,289.73,302.56,320.31,182.72,227.74,228.49,227.86,231.25,241.84,276.19,289.73,302.56,320.31,182.72,227.74,228.49,227.86,231.25,241.84,276.19,289.73,302.56,320.31,182.72,227.74,228.49,227.86,231.25,241.84,276.19,289.73,302.56,320.31,182.72,227.74,228.49,227.86,231.25,241.84,276.19,289.73,302.56,320.31
0.35,10920.00,2.90,1.00,1.00,1.00,4.00,86300000000000000000.00,42.89,54.76,60.00,62.89,81.59,100.16,129.94,142.40,161.22,180.06,104.87,131.19,132.79,134.83,146.40,162.33,187.59,203.30,224.11,244.88,134.46,167.33,166.00,168.23,174.79,186.89,211.54,228.96,250.42,268.77,143.85,183.01,183.92,183.98,188.87,201.42,224.69,240.95,261.91,281.13,150.72,191.60,191.51,191.75,194.00,207.82,233.46,253.03,271.07,290.69,150.72,191.60,191.51,191.75,194.00,207.82,233.46,253.03,271.07,290.69,150.72,191.60,191.51,191.75,194.00,207.82,233.46,253.03,271.07,290.69,150.72,191.60,191.51,191.75,194.00,207.82,233.46,253.03,271.07,290.69,150.72,191.60,191.51,191.75,194.00,207.82,233.46,253.03,271.07,290.69
0.35,10920.00,2.90,1.00,1.00,1.00,3.00,86300000000000000000.00,35.54,43.43,46.17,49.53,63.69,78.43,98.12,111.04,125.51,147.60,79.87,98.75,103.01,103.18,110.33,126.64,145.64,157.62,173.75,198.56,103.99,129.47,132.79,131.36,136.62,151.19,170.77,182.41,201.21,226.35,114.82,145.01,147.51,147.71,151.90,166.34,187.25,198.41,218.22,244.52,122.08,154.71,158.18,156.06,161.79,173.17,191.72,207.64,226.38,254.34,122.08,154.71,158.18,156.06,161.79,173.17,191.72,207.64,226.38,254.34,122.08,154.71,158.18,156.06,161.79,173.17,191.72,207.64,226.38,254.34,122.08,154.71,158.18,156.06,161.79,173.17,191.72,207.64,226.38,254.34,122.08,154.71,158.18,156.06,161.79,173.17,191.72,207.64,226.38,254.34
0.35,10920.00,2.90,1.00,1.00,1.00,2.00,86300000000000000000.00,32.40,38.83,41.46,44.79,52.40,65.70,82.31,90.61,104.00,124.10,65.03,78.79,79.08,82.40,88.55,100.28,119.09,127.06,138.89,167.09,83.90,98.89,102.39,103.79,108.42,120.92,136.63,146.52,162.25,191.73,93.00,114.40,118.31,116.29,122.11,132.01,149.61,161.78,175.58,203.41,100.37,123.60,125.14,124.74,128.02,142.30,159.95,171.16,185.76,219.23,100.37,123.60,125.14,124.74,128.02,142.30,159.95,171.16,185.76,219.23,100.37,123.60,125.14,124.74,128.02,142.30,159.95,171.16,185.76,219.23,100.37,123.60,125.14,124.74,128.02,142.30,159.95,171.16,185.76,219.23,100.37,123.60,125.14,124.74,128.02,142.30,159.95,171.16,185.76,219.23
0.35,10920.00,2.90,1.00,1.00,1.00,1.00,86300000000000000000.00,25.91,31.25,33.14,35.07,40.19,49.70,63.59,70.75,77.84,97.39,50.92,58.45,59.84,61.12,65.21,76.15,89.10,98.38,106.93,129.28,68.12,76.86,78.45,78.37,82.13,89.95,106.98,113.45,126.51,149.50,74.30,87.79,87.30,89.50,91.95,101.04,117.44,125.85,137.24,162.96,79.94,93.01,95.09,92.16,97.46,106.95,124.08,134.47,143.96,173.89,79.94,93.01,95.09,92.16,97.46,106.95,124.08,134.47,143.96,173.89,79.94,93.01,95.09,92.16,97.46,106.95,124.08,134.47,143.96,173.89,79.94,93.01,95.09,92.16,97.46,106.95,124.08,134.47,143.96,173.89,79.94,93.01,95.09,92.16,97.46,106.95,124.08,134.47,143.96,173.89
0.35,10920.00,2.90,1.00,2.00,3.00,6.00,86300000000000000000.00,20.47,23.14,23.31,24.42,26.85,30.37,39.52,45.62,52.01,63.09,31.09,34.84,36.68,36.13,38.19,44.14,53.11,60.53,68.04,83.99,40.43,44.17,42.56,43.90,45.77,49.60,63.30,72.92,83.02,95.92,44.58,49.53,51.32,51.62,53.88,57.12,73.14,82.12,90.62,110.70,49.94,54.73,56.03,55.80,57.99,63.90,76.60,88.72,98.34,117.06,49.94,54.73,56.03,55.80,57.99,63.90,76.60,88.72,98.34,117.06,49.94,54.73,56.03,55.80,57.99,63.90,76.60,88.72,98.34,117.06,49.94,54.73,56.03,55.80,57.99,63.90,76.60,88.72,98.34,117.06,49.94,54.73,56.03,55.80,57.99,63.90,76.60,88.72,98.34,117.06
