U%,Density,Thermal_Conductivity,IV,Digit1,Digit2,Digit3,0,1,3,5,10,15,20,22,24,26,26.001,27,29,31,36,41,46,48,50,52,52.001,53,55,57,62,67,72,74,76,78,78.001,79,81,83,88,93,98,100,102,104,104.001,105,107,109,114,119,124,126,128,130,130.001,131,133,135,140,145,150,152,154,156,156.001,157,159,161,166,171,176,178,180,182,182.001,183,185,187,192,197,202,204,206,208,208.001,209,211,213,218,223,228,230,232,234,234.001,235,237,239,244,249,254,256,258,260,260.001,261,263,265,270,275,280,282,284,286,286.001,287,289,291,296,301,306,308,310,312,312.001,313,315,317,322,327,332,334,336,338,338.001,339,341,343,348,353,358,360,362,364,364.001,365,367,369,374,379,384,386,388,390,390.001,391,393,395,400,405,410,412,414,416
0.35,9664,2.9,2,1,1,1,0,0.017470411,0.055692233,0.094492867,0.192729377,0.298899837,0.414933316,0.467275887,0.523231433,0.582726799,0.582726799,0.605340581,0.657274788,0.710072766,0.840957101,0.975870505,1.120471346,1.184450884,1.252151366,1.323839711,1.323839711,1.350498946,1.411178268,1.471899789,1.622294192,1.778886186,1.94295826,2.014743204,2.089018573,2.16759815,2.16759815,2.196579607,2.262798407,2.329416515,2.49380666,2.6607004,2.838192763,2.914590884,2.99458995,3.078973773,3.078973773,3.110123135,3.181379069,3.252490414,3.429964396,3.607880667,3.793144664,3.873570851,3.956940792,4.044120016,4.044120016,4.076336827,4.150346355,4.223352549,4.407200695,4.592704444,4.785261034,4.867330707,4.952730548,5.044302569,5.044302569,5.07651938,5.150528908,5.223535102,5.407383248,5.592886997,5.785443587,5.86751326,5.952913101,6.044485122,6.044485122,6.076701933,6.150711461,6.223717655,6.407565801,6.59306955,6.78562614,6.867695813,6.953095654,7.044667675,7.044667675,7.076884486,7.150894014,7.223900208,7.407748354,7.593252104,7.785808693,7.867878366,7.953278207,8.044850228,8.044850228,8.077067039,8.151076567,8.224082761,8.407930907,8.593434657,8.785991246,8.868060919,8.95346076,9.045032781,9.045032781,9.077249592,9.15125912,9.224265315,9.40811346,9.59361721,9.786173799,9.868243473,9.953643313,10.04521533,10.04521533,10.07743215,10.15144167,10.22444787,10.40829601,10.59379976,10.78635635,10.86842603,10.95382587,11.04539789,11.04539789,11.0776147,11.15162423,11.22463042,11.40847857,11.59398232,11.78653891,11.86860858,11.95400842,12.04558044,12.04558044,12.07779725,12.15180678,12.22481297,12.40866112,12.59416487,12.78672146,12.86879113,12.95419097,13.04576299,13.04576299,13.0779798,13.15198933,13.22499553,13.40884367,13.59434742,13.78690401,13.86897368,13.95437353,14.04594555,14.04594555,14.07816236,14.15217189,14.22517808,14.40902623,14.59452998,14.78708656,14.86915624,14.95455608,15.0461281
0.35,9664,2.9,2,1,1,2,0,0.019902269,0.063663281,0.108476484,0.222957592,0.34639159,0.482406446,0.544040518,0.609648914,0.67941718,0.67941718,0.705924469,0.767682028,0.829972274,0.985623687,1.149822844,1.326364395,1.40355251,1.485114045,1.571159808,1.571159808,1.603556117,1.677219188,1.751319579,1.935834737,2.125173006,2.324813288,2.410939562,2.501722369,2.596273446,2.596273446,2.63206357,2.713511687,2.794996031,2.997840998,3.203305813,3.417881632,3.511215315,3.607896788,3.708279421,3.708279421,3.745874029,3.832708232,3.920135441,4.134891825,4.354708555,4.585352727,4.682827277,4.784162232,4.890440874,4.890440874,4.929729607,5.021226421,5.112027597,5.3352697,5.562109797,5.797435805,5.898057631,6.002191114,6.111617406,6.111617406,6.150906139,6.242402953,6.333204129,6.556446232,6.783286329,7.018612337,7.119234163,7.223367646,7.332793938,7.332793938,7.372082671,7.463579486,7.554380661,7.777622764,8.004462861,8.23978887,8.340410695,8.444544178,8.55397047,8.55397047,8.593259203,8.684756018,8.775557193,8.998799296,9.225639393,9.460965402,9.561587227,9.665720711,9.775147002,9.775147002,9.814435735,9.90593255,9.996733726,10.21997583,10.44681593,10.68214193,10.78276376,10.88689724,10.99632353,10.99632353,11.03561227,11.12710908,11.21791026,11.44115236,11.66799246,11.90331847,12.00394029,12.10807377,12.21750007,12.21750007,12.2567888,12.34828561,12.43908679,12.66232889,12.88916899,13.124495,13.22511682,13.32925031,13.4386766,13.4386766,13.47796533,13.56946215,13.66026332,13.88350543,14.11034552,14.34567153,14.44629336,14.55042684,14.65985313,14.65985313,14.69914186,14.79063868,14.88143985,15.10468196,15.33152205,15.56684806,15.66746989,15.77160337,15.88102966,15.88102966,15.9203184,16.01181521,16.10261639,16.32585849,16.55269859,16.78802459,16.88864642,16.9927799,17.1022062,17.1022062,17.14149493,17.23299174,17.32379292,17.54703502,17.77387512,18.00920113,18.10982295,18.21395644,18.32338273
0.35,9664,2.9,2,1,1,3,0,0.023008478,0.072874017,0.124484111,0.256037266,0.399726604,0.561242221,0.63566187,0.714592176,0.797735931,0.797735931,0.829946654,0.905764262,0.981454438,1.172822185,1.370326187,1.581085984,1.673191043,1.769096364,1.871005163,1.871005163,1.909633005,1.99963781,2.089199248,2.31280816,2.542133064,2.785063725,2.889708452,2.998435563,3.112313724,3.112313724,3.155290694,3.255774718,3.354758536,3.59854335,3.848579445,4.111366257,4.223911844,4.341309979,4.461651112,4.461651112,4.507671775,4.613457251,4.718718908,4.982088271,5.245626512,5.521177434,5.639604488,5.762865446,5.890816768,5.890816768,5.938965886,6.050664982,6.160066475,6.433120833,6.710610237,6.994892624,7.118247464,7.244013443,7.375048743,7.375048743,7.423197861,7.534896957,7.64429845,7.917352808,8.194842212,8.479124599,8.602479439,8.728245418,8.859280718,8.859280718,8.907429836,9.019128932,9.128530425,9.401584783,9.679074188,9.963356574,10.08671141,10.21247739,10.34351269,10.34351269,10.39166181,10.50336091,10.6127624,10.88581676,11.16330616,11.44758855,11.57094339,11.69670937,11.82774467,11.82774467,11.87589379,11.98759288,12.09699438,12.37004873,12.64753814,12.93182052,13.05517536,13.18094134,13.31197664,13.31197664,13.36012576,13.47182486,13.58122635,13.85428071,14.13177011,14.4160525,14.53940734,14.66517332,14.79620862,14.79620862,14.84435774,14.95605683,15.06545833,15.33851268,15.61600209,15.90028447,16.02363932,16.14940529,16.28044059,16.28044059,16.32858971,16.44028881,16.5496903,16.82274466,17.10023406,17.38451645,17.50787129,17.63363727,17.76467257,17.76467257,17.81282169,17.92452078,18.03392228,18.30697663,18.58446604,18.86874842,18.99210327,19.11786924,19.24890454,19.24890454,19.29705366,19.40875276,19.51815425,19.79120861,20.06869801,20.3529804,20.47633524,20.60210122,20.73313652,20.73313652,20.78128564,20.89298473,21.00238623,21.27544058,21.55292999,21.83721238,21.96056722,22.08633319,22.21736849
0.35,9664,2.9,2,1,1,4,0,0.025763331,0.08317172,0.141239334,0.29137289,0.458822201,0.648059851,0.735354403,0.827328703,0.924966238,0.924966238,0.962444983,1.053944972,1.144685519,1.372066096,1.609742289,1.863079828,1.974011291,2.089895456,2.211379659,2.211379659,2.257550961,2.365380781,2.473835703,2.742007771,3.017447802,3.307482264,3.431598728,3.559552111,3.693008093,3.693008093,3.744108592,3.863763915,3.9822217,4.277041947,4.573854506,4.884740348,5.017820784,5.156380851,5.299054935,5.299054935,5.353317475,5.479281954,5.605377167,5.916411947,6.23101662,6.557014467,6.696863841,6.840800824,6.989455217,6.989455217,7.045543583,7.177111248,7.305363795,7.627125575,7.949720405,8.287875368,8.431947686,8.580927248,8.734073161,8.734073161,8.790161526,8.921729191,9.049981739,9.371743519,9.694338348,10.03249331,10.17656563,10.32554519,10.4786911,10.4786911,10.53477947,10.66634713,10.79459968,11.11636146,11.43895629,11.77711126,11.92118357,12.07016313,12.22330905,12.22330905,12.27939741,12.41096508,12.53921763,12.86097941,13.18357424,13.5217292,13.66580152,13.81478108,13.96792699,13.96792699,14.02401536,14.15558302,14.28383557,14.60559735,14.92819218,15.26634714,15.41041946,15.55939902,15.71254494,15.71254494,15.7686333,15.90020097,16.02845351,16.35021529,16.67281012,17.01096509,17.1550374,17.30401697,17.45716288,17.45716288,17.51325124,17.64481891,17.77307146,18.09483324,18.41742807,18.75558303,18.89965535,19.04863491,19.20178082,19.20178082,19.25786919,19.38943685,19.5176894,19.83945118,20.16204601,20.50020097,20.64427329,20.79325285,20.94639877,20.94639877,21.00248713,21.1340548,21.26230734,21.58406912,21.90666395,22.24481892,22.38889124,22.5378708,22.69101671,22.69101671,22.74710508,22.87867274,23.00692529,23.32868707,23.6512819,23.98943686,24.13350918,24.28248874,24.43563465,24.43563465,24.49172302,24.62329068,24.75154323,25.07330501,25.39589984,25.7340548,25.87812712,26.02710668,26.1802526
0.35,9664,2.9,2,1,1,5,0,0.029106137,0.093264822,0.158809765,0.327544649,0.518782974,0.737875501,0.836371033,0.941977496,1.053683876,1.053683876,1.097406579,1.203095555,1.30788283,1.572635884,1.849498593,2.143447783,2.272807589,2.407178453,2.547522363,2.547522363,2.601679346,2.729563051,2.857093219,3.170985621,3.490344228,3.826900159,3.969554145,4.118085535,4.270986331,4.270986331,4.3299299,4.468259883,4.606272326,4.947610805,5.294758864,5.658496034,5.813292613,5.97244396,6.136881475,6.136881475,6.199926597,6.348083143,6.494978941,6.857571543,7.22083519,7.600072417,7.762372326,7.927752373,8.099997699,8.099997699,8.165655961,8.318954591,8.468758392,8.845453684,9.222041196,9.616552098,9.782146921,9.95433421,10.13151647,10.13151647,10.19717474,10.35047337,10.50027717,10.87697246,11.25355997,11.64807087,11.81366569,11.98585298,12.16303525,12.16303525,12.22869351,12.38199214,12.53179594,12.90849123,13.28507874,13.67958965,13.84518447,14.01737176,14.19455402,14.19455402,14.26021228,14.41351091,14.56331471,14.94001001,15.31659752,15.71110842,15.87670324,16.04889053,16.2260728,16.2260728,16.29173106,16.44502969,16.59483349,16.97152878,17.34811629,17.74262719,17.90822202,18.08040931,18.25759157,18.25759157,18.32324983,18.47654846,18.62635226,19.00304755,19.37963507,19.77414597,19.93974079,20.11192808,20.28911034,20.28911034,20.35476861,20.50806724,20.65787104,21.03456633,21.41115384,21.80566474,21.97125957,22.14344685,22.32062912,22.32062912,22.38628738,22.53958601,22.68938981,23.0660851,23.44267261,23.83718352,24.00277834,24.17496563,24.35214789,24.35214789,24.41780615,24.57110478,24.72090858,25.09760388,25.47419139,25.86870229,26.03429711,26.2064844,26.38366667,26.38366667,26.44932493,26.60262356,26.75242736,27.12912265,27.50571016,27.90022106,28.06581589,28.23800318,28.41518544,28.41518544,28.4808437,28.63414233,28.78394613,29.16064142,29.53722894,29.93173984,30.09733466,30.26952195,30.44670421
0.35,9664,2.9,2,1,1,6,0,0.033125515,0.106850769,0.18225974,0.377267772,0.597809177,0.849445829,0.964069284,1.084804033,1.211310857,1.211310857,1.26216517,1.385771314,1.508613003,1.813560674,2.130756486,2.471288139,2.619154998,2.772048089,2.930599988,2.930599988,2.99180122,3.138974832,3.284741098,3.645051197,4.012503379,4.398709687,4.563912425,4.734316633,4.909057564,4.909057564,4.977121672,5.138897034,5.298891878,5.697162073,6.093522604,6.511089916,6.686394738,6.866116224,7.051638025,7.051638025,7.123180147,7.293212992,7.458662232,7.871903504,8.28140898,8.711338863,8.891690682,9.077997844,9.269773002,9.269773002,9.34364743,9.517467029,9.688782138,10.11337125,10.53862693,10.97950103,11.16479974,11.35596804,11.55203702,11.55203702,11.62591145,11.79973105,11.97104616,12.39563527,12.82089095,13.26176505,13.44706376,13.63823206,13.83430104,13.83430104,13.90817547,14.08199507,14.25331017,14.67789929,15.10315497,15.54402907,15.72932777,15.92049608,16.11656506,16.11656506,16.19043949,16.36425908,16.53557419,16.96016331,17.38541898,17.82629308,18.01159179,18.2027601,18.39882908,18.39882908,18.4727035,18.6465231,18.81783821,19.24242732,19.667683,20.1085571,20.29385581,20.48502412,20.68109309,20.68109309,20.75496752,20.92878712,21.10010223,21.52469134,21.94994702,22.39082112,22.57611983,22.76728813,22.96335711,22.96335711,23.03723154,23.21105114,23.38236625,23.80695536,24.23221104,24.67308514,24.85838385,25.04955215,25.24562113,25.24562113,25.31949556,25.49331516,25.66463027,26.08921938,26.51447506,26.95534916,27.14064787,27.33181617,27.52788515,27.52788515,27.60175958,27.77557918,27.94689428,28.3714834,28.79673908,29.23761318,29.42291188,29.61408019,29.81014917,29.81014917,29.8840236,30.05784319,30.2291583,30.65374742,31.0790031,31.5198772,31.7051759,31.89634421,32.09241319,32.09241319,32.16628761,32.34010721,32.51142232,32.93601144,33.36126711,33.80214121,33.98743992,34.17860823,34.3746772
0.35,9664,2.9,2,1,2,1,0,0.039516296,0.127376825,0.21690043,0.452531663,0.723573402,1.03929067,1.183076456,1.333900716,1.489718053,1.489718053,1.554291055,1.714547193,1.872102224,2.265397844,2.673702775,3.106867946,3.292188364,3.481768803,3.675370145,3.675370145,3.754075276,3.94381793,4.131434918,4.591457829,5.058255247,5.547455877,5.753190901,5.964327137,6.178484157,6.178484157,6.265380262,6.473043352,6.678935783,7.183253134,7.68962649,8.217099709,8.436445378,8.659555454,8.885867263,8.885867263,8.977306513,9.195294445,9.409083548,9.937106164,10.46463572,11.01036658,11.23488148,11.4653094,11.69806399,11.69806399,11.79135023,12.01471402,12.23031271,12.76847662,13.30611741,13.86512011,14.09467174,14.32997765,14.56526942,14.56526942,14.65855566,14.88191945,15.09751814,15.63568205,16.17332284,16.73232554,16.96187717,17.19718308,17.43247485,17.43247485,17.52576109,17.74912488,17.96472357,18.50288748,19.04052827,19.59953096,19.8290826,20.06438851,20.29968028,20.29968028,20.39296652,20.61633031,20.831929,21.3700929,21.9077337,22.46673639,22.69628803,22.93159394,23.16688571,23.16688571,23.26017194,23.48353574,23.69913442,24.23729833,24.77493913,25.33394182,25.56349346,25.79879937,26.03409114,26.03409114,26.12737737,26.35074116,26.56633985,27.10450376,27.64214456,28.20114725,28.43069889,28.66600479,28.90129657,28.90129657,28.9945828,29.21794659,29.43354528,29.97170919,30.50934999,31.06835268,31.29790432,31.53321022,31.768502,31.768502,31.86178823,32.08515202,32.30075071,32.83891462,33.37655541,33.93555811,34.16510975,34.40041565,34.63570742,34.63570742,34.72899366,34.95235745,35.16795614,35.70612005,36.24376084,36.80276354,37.03231517,37.26762108,37.50291285,37.50291285,37.59619909,37.81956288,38.03516157,38.57332548,39.11096627,39.66996897,39.8995206,40.13482651,40.37011828,40.37011828,40.46340452,40.68676831,40.902367,41.44053091,41.9781717,42.5371744,42.76672603,43.00203194,43.23732371
0.35,9664,2.9,2,1,2,2,0,0.0399969,0.12960964,0.221463774,0.46155019,0.738174329,1.056814434,1.200366321,1.351851102,1.50743263,1.50743263,1.572072533,1.733011885,1.892455623,2.290906016,2.70838884,3.150166402,3.339140583,3.531421323,3.726245138,3.726245138,3.806500475,4.002507453,4.194724739,4.666302249,5.140693926,5.639202265,5.847488934,6.059535998,6.274340903,6.274340903,6.36200124,6.574370656,6.781508249,7.29548563,7.807296947,8.337589432,8.558971923,8.78240363,9.008736662,9.008736662,9.100914156,9.321485342,9.538766668,10.06921334,10.60372534,11.1543815,11.38338675,11.61640288,11.85412363,11.85412363,11.95059889,12.18060151,12.40398584,12.95539247,13.50838253,14.0788177,14.31389759,14.55308165,14.79436618,14.79436618,14.89084144,15.12084407,15.34422839,15.89563502,16.44862509,17.01906026,17.25414015,17.49332421,17.73460874,17.73460874,17.831084,18.06108662,18.28447095,18.83587758,19.38886764,19.95930281,20.1943827,20.43356676,20.67485129,20.67485129,20.77132655,21.00132917,21.2247135,21.77612013,22.3291102,22.89954537,23.13462526,23.37380932,23.61509385,23.61509385,23.71156911,23.94157173,24.16495605,24.71636268,25.26935275,25.83978792,26.07486781,26.31405187,26.5553364,26.5553364,26.65181166,26.88181428,27.10519861,27.65660524,28.20959531,28.78003048,29.01511036,29.25429442,29.49557896,29.49557896,29.59205422,29.82205684,30.04544116,30.59684779,31.14983786,31.72027303,31.95535292,32.19453698,32.43582151,32.43582151,32.53229677,32.76229939,32.98568372,33.53709035,34.09008042,34.66051559,34.89559547,35.13477953,35.37606406,35.37606406,35.47253932,35.70254195,35.92592627,36.4773329,37.03032297,37.60075814,37.83583803,38.07502209,38.31630662,38.31630662,38.41278188,38.6427845,38.86616883,39.41757546,39.97056552,40.54100069,40.77608058,41.01526464,41.25654917,41.25654917,41.35302443,41.58302705,41.80641138,42.35781801,42.91080808,43.48124325,43.71632314,43.9555072,44.19679173
0.35,9664,2.9,2,1,2,3,0,0.040647543,0.130638084,0.222810668,0.464317176,0.745899553,1.069603227,1.215320052,1.367751022,1.526563158,1.526563158,1.592516506,1.755950416,1.917808235,2.32140837,2.742905268,3.189846469,3.381636398,3.577815807,3.777063758,3.777063758,3.859479568,4.056703367,4.250458121,4.729036707,5.212811882,5.712881721,5.923288377,6.136136578,6.352703703,6.352703703,6.441264048,6.653222463,6.862259014,7.380291732,7.894970886,8.428007546,8.651240342,8.878500446,9.105472164,9.105472164,9.198219171,9.421559047,9.640035426,10.18171422,10.72063788,11.27664466,11.51004895,11.74719298,11.98596938,11.98596938,12.08308942,12.31498461,12.54279048,13.10048995,13.6546605,14.23253809,14.47146577,14.71254094,14.95654647,14.95654647,15.05366651,15.2855617,15.51336757,16.07106703,16.62523758,17.20311518,17.44204286,17.68311803,17.92712356,17.92712356,18.02424359,18.25613878,18.48394465,19.04164412,19.59581467,20.17369226,20.41261995,20.65369512,20.89770064,20.89770064,20.99482068,21.22671587,21.45452174,22.01222121,22.56639176,23.14426935,23.38319703,23.62427221,23.86827773,23.86827773,23.96539777,24.19729296,24.42509883,24.9827983,25.53696885,26.11484644,26.35377412,26.5948493,26.83885482,26.83885482,26.93597486,27.16787005,27.39567592,27.95337539,28.50754593,29.08542353,29.32435121,29.56542638,29.80943191,29.80943191,29.90655194,30.13844714,30.366253,30.92395247,31.47812302,32.05600062,32.2949283,32.53600347,32.78000899,32.78000899,32.87712903,33.10902422,33.33683009,33.89452956,34.44870011,35.0265777,35.26550538,35.50658056,35.75058608,35.75058608,35.84770612,36.07960131,36.30740718,36.86510665,37.4192772,37.99715479,38.23608247,38.47715765,38.72116317,38.72116317,38.81828321,39.0501784,39.27798427,39.83568374,40.38985429,40.96773188,41.20665956,41.44773474,41.69174026,41.69174026,41.7888603,42.02075549,42.24856136,42.80626082,43.36043137,43.93830897,44.17723665,44.41831182,44.66231735
