U%,Density,Thermal_Conductivity,IV,Digit1,Digit2,Digit3,0,1,5,10,15,20,25,25.001,26,30,35,40,45,50,50.001,51,55,60,65,70,75,75.001,76,80,85,90,95,100,100.001,101,105,110,115,120,125,125.001,126,130,135,140,145,150,150.001,151,155,160,165,170,175,175.001,176,180,185,190,195,200,200.001,201,205,210,215,220,225,225.001,226,230,235,240,245,250,250.001,251,255,260,265,270,275,275.001,276,280,285,290,295,300
0.711,9664,2.9,1,1,1,1,0,0.042424672,0.230900929,0.482772935,0.768520066,1.111694398,1.614329309,1.614429836,1.674487986,1.968047527,2.340540174,2.740486285,3.198830082,3.843702227,3.843871619,3.917786546,4.274322805,4.724942299,5.19961781,5.74022798,6.483605173,6.48384927,6.567434139,6.96546838,7.470619771,7.994709863,8.57947524,9.388048373,9.388370548,9.477468131,9.905061074,10.44385636,10.99938759,11.6227544,12.48292244,12.48332751,12.57805982,13.02621484,13.58908936,14.16869597,14.82388169,15.71062329,15.71093353,15.80566584,16.25382086,16.81669539,17.39630199,18.05148771,18.93822932,18.93853956,19.03327187,19.48142689,20.04430141,20.62390802,21.27909374,22.16583534,22.16614558,22.26087789,22.70903291,23.27190744,23.85151404,24.50669976,25.39344137,25.39375161,25.48848392,25.93663894,26.49951347,27.07912007,27.73430579,28.62104739,28.62135764,28.71608994,29.16424496,29.72711949,30.30672609,30.96191181,31.84865342,31.84896366,31.94369597,32.39185099,32.95472552,33.53433212,34.18951784,35.07625944
0.711,9664,2.9,1,1,1,2,0,0.048992122,0.274141579,0.579498634,0.932733985,1.363248047,1.982213654,1.982337447,2.056972123,2.440659175,2.93024705,3.468829819,4.078701844,4.902971057,4.903185004,4.997213855,5.471883008,6.07278541,6.707945209,7.419296263,8.366543418,8.366852716,8.474972249,9.010166816,9.68332209,10.39161421,11.18179624,12.21786074,12.21826906,12.33256064,12.89841917,13.61518501,14.36577179,15.18512831,16.2846336,16.28514748,16.40461137,16.99472168,17.73519096,18.50466927,19.34914237,20.46143086,20.46182515,20.58128904,21.17139935,21.91186863,22.68134694,23.52582004,24.63810853,24.63850282,24.75796671,25.34807702,26.0885463,26.85802461,27.70249771,28.8147862,28.81518049,28.93464438,29.52475469,30.26522397,31.03470228,31.87917538,32.99146387,32.99185816,33.11132205,33.70143236,34.44190164,35.21137995,36.05585305,37.16814154,37.16853583,37.28799972,37.87811003,38.61857931,39.38805762,40.23253072,41.34481921,41.3452135,41.46467739,42.0547877,42.79525698,43.5647353,44.40920839,45.52149688
0.711,9664,2.9,1,1,1,3,0,0.058619375,0.332627387,0.712957595,1.157968766,1.695802541,2.486289299,2.486447396,2.581259897,3.086348568,3.724818482,4.417019142,5.193585897,6.263208271,6.263485398,6.385344466,7.023401475,7.821222626,8.651380509,9.558709858,10.76936354,10.76976084,10.90535956,11.59495281,12.46275251,13.35710563,14.34098306,15.64775425,15.64827723,15.79216312,16.52865956,17.45035424,18.39941321,19.41863447,20.77802052,20.77867142,20.92847762,21.69512301,22.64528821,23.62176073,24.6659752,26.05098851,26.05148946,26.20129565,26.96794105,27.91810625,28.89457876,29.93879324,31.32380655,31.3243075,31.47411369,32.24075908,33.19092429,34.1673968,35.21161128,36.59662459,36.59712554,36.74693173,37.51357712,38.46374232,39.44021484,40.48442931,41.86944263,41.86994357,42.01974976,42.78639516,43.73656036,44.71303288,45.75724735,47.14226066,47.14276161,47.2925678,48.0592132,49.0093784,49.98585091,51.03006539,52.4150787,52.41557965,52.56538584,53.33203123,54.28219644,55.25866895,56.30288343,57.68789674
0.711,9664,2.9,1,1,1,4,0,0.071368916,0.398626467,0.852004966,1.398108892,2.06591702,3.044587053,3.044782787,3.166253584,3.807434678,4.611859183,5.483335515,6.447733294,7.761306226,7.761643097,7.915581735,8.707708185,9.702175109,10.72231017,11.83535426,13.32693315,13.32741428,13.49814075,14.37260116,15.44817645,16.55265865,17.73507276,19.30604718,19.30667167,19.48720128,20.38889764,21.51479264,22.65043105,23.85988574,25.47249375,25.47326014,25.65598862,26.57423701,27.70762569,28.86328348,30.10631018,31.7404797,31.74106318,31.92379165,32.84204004,33.97542872,35.13108652,36.37411321,38.00828273,38.00886621,38.19159468,39.10984307,40.24323175,41.39888955,42.64191624,44.27608577,44.27666925,44.45939772,45.37764611,46.51103479,47.66669259,48.90971928,50.5438888,50.54447228,50.72720075,51.64544914,52.77883782,53.93449562,55.17752231,56.81169183,56.81227531,56.99500379,57.91325218,59.04664086,60.20229866,61.44532535,63.07949487,63.08007835,63.26280682,64.18105521,65.31444389,66.47010169,67.71312838,69.3472979
0.711,9664,2.9,1,1,1,5,0,0.084955566,0.465854168,0.998085994,1.642647525,2.442068367,3.593203564,3.593433791,3.745484942,4.536858876,5.524559833,6.569518496,7.723194228,9.266850207,9.267236978,9.45841805,10.41975062,11.59174582,12.80757637,14.12929503,15.85405412,15.85459451,16.06306328,17.09960586,18.36905238,19.65902043,21.04818417,22.8416247,22.84231517,23.05708239,24.11984401,25.41886062,26.72986316,28.1573458,29.9805604,29.98140062,30.19916665,31.26537442,32.57948356,33.91136323,35.34233304,37.16702587,37.16764811,37.38541413,38.45162191,39.76573105,41.09761072,42.52858052,44.35327336,44.35389559,44.57166162,45.6378694,46.95197854,48.28385821,49.71482801,51.53952085,51.54014308,51.75790911,52.82411689,54.13822603,55.4701057,56.9010755,58.72576833,58.72639057,58.9441566,60.01036438,61.32447352,62.65635318,64.08732299,65.91201582,65.91263806,66.13040409,67.19661186,68.51072101,69.84260067,71.27357048,73.09826331,73.09888555,73.31665158,74.38285935,75.6969685,77.02884816,78.45981797,80.2845108
0.711,9664,2.9,1,1,1,6,0,0.097356133,0.534433776,1.155804201,1.935534297,2.92548695,4.256602403,4.256868626,4.438077967,5.383408483,6.557082227,7.80484288,9.215222646,10.96191792,10.96235211,11.18684878,12.32179123,13.70889556,15.12820843,16.67980965,18.57209181,18.57267978,18.81123341,20.00292563,21.44736619,22.92341483,24.54782061,26.50168439,26.50242441,26.74878529,27.97977384,29.47981277,31.00832261,32.67114833,34.668942,34.66983506,34.91848668,36.15650412,37.66671461,39.20421939,40.87031775,42.8657954,42.86643956,43.11509118,44.35310862,45.86331911,47.40082389,49.06692225,51.0623999,51.06304407,51.31169568,52.54971313,54.05992361,55.5974284,57.26352676,59.25900441,59.25964857,59.50830018,60.74631763,62.25652812,63.7940329,65.46013126,67.45560891,67.45625307,67.70490469,68.94292213,70.45313262,71.9906374,73.65673576,75.65221341,75.65285758,75.90150919,77.13952664,78.64973712,80.18724191,81.85334026,83.84881791,83.84946208,84.09811369,85.33613114,86.84634163,88.38384641,90.04994477,92.04542242
0.711,9664,2.9,1,1,2,1,0,0.138758475,0.782815811,1.706388921,2.88403527,4.32362383,5.997472756,5.997807526,6.267005015,7.724991508,9.486050875,11.32139611,13.28377929,15.35719623,15.35767623,15.67485311,17.34129051,19.3263075,21.35224208,23.49253783,25.72239696,25.72300547,26.05811742,27.8002877,29.86017983,31.93790785,34.10010697,36.33675773,36.33747818,36.67156521,38.42243269,40.49160596,42.56470195,44.72447188,46.9718155,46.97265107,47.30799075,49.04778752,51.10502545,53.16715322,55.30537195,57.52493755,57.52543744,57.86077712,59.60057389,61.65781183,63.7199396,65.85815833,68.07772393,68.07822382,68.4135635,70.15336027,72.2105982,74.27272597,76.41094471,78.6305103,78.6310102,78.96634988,80.70614664,82.76338458,84.82551235,86.96373108,89.18329668,89.18379657,89.51913625,91.25893302,93.31617096,95.37829873,97.51651746,99.73608305,99.73658295,100.0719226,101.8117194,103.8689573,105.9310851,108.0693038,110.2888694,110.2893693,110.624709,112.3645058,114.4217437,116.4838715,118.6220902,120.8416558
0.711,9664,2.9,1,1,2,2,0,0.146383077,0.806213202,1.761832597,2.975464717,4.438569048,6.09023774,6.090568074,6.374251943,7.887074098,9.693460525,11.57874,13.57610687,15.6614837,15.66194716,16.00418073,17.75922573,19.82924853,21.91586842,24.12119869,26.36378126,26.36435068,26.71873286,28.53308752,30.65547235,32.7906953,34.99199624,37.24975338,37.25041966,37.60436631,39.41301821,41.53207151,43.66334595,45.86294115,48.11861165,48.11937482,48.47400861,50.28026457,52.41017194,54.53323374,56.72634069,58.95475148,58.95515966,59.30979345,61.11604941,63.24595678,65.36901857,67.56212553,69.79053632,69.7909445,70.14557828,71.95183424,74.08174162,76.20480341,78.39791036,80.62632116,80.62672934,80.98136312,82.78761908,84.91752645,87.04058825,89.2336952,91.46210599,91.46251417,91.81714796,93.62340392,95.75331129,97.87637309,100.06948,102.2978908,102.298299,102.6529328,104.4591888,106.5890961,108.7121579,110.9052649,113.1336757,113.1340838,113.4887176,115.2949736,117.424881,119.5479428,121.7410497,123.9694605
0.711,9664,2.9,1,1,2,3,0,0.148319462,0.816025681,1.781087178,3.007714341,4.499543511,6.192563908,6.192902512,6.48524113,8.024466884,9.86155781,11.76490341,13.80310216,15.93134333,15.93181496,16.28028586,18.05451057,20.14833638,22.26454374,24.47356084,26.72521801,26.72579118,27.08799925,28.92537114,31.10422765,33.25986428,35.5086514,37.80262822,37.80329766,38.16679342,40.02138859,42.1983362,44.35306922,46.56898129,48.81343317,48.8141877,49.17193461,50.98451943,53.11905757,55.25509106,57.45445781,59.71525503,59.71565145,60.07339836,61.88598318,64.02052133,66.15655482,68.35592156,70.61671878,70.6171152,70.97486212,72.78744693,74.92198508,77.05801857,79.25738531,81.51818254,81.51857896,81.87632587,83.68891069,85.82344883,87.95948232,90.15884907,92.41964629,92.42004271,92.77778962,94.59037444,96.72491259,98.86094608,101.0603128,103.32111,103.3215065,103.6792534,105.4918382,107.6263763,109.7624098,111.9617766,114.2225738,114.2229702,114.5807171,116.3933019,118.5278401,120.6638736,122.8632403,125.1240375
