U%,Density,Thermal_Conductivity,IV,Digit1,Digit2,Digit3,0,1,3,5,10,15,20,22,24,26,26,27,29,31,36,41,46,48,50,52,52,53,55,57,62,67,72,74,76,78,78,79,81,83,88,93,98,100,102,104,104,105,107,109,114,119,124,126,128,130,130,131,133,135,140,145,150,152,154,156,156,157,159,161,166,171,176,178,180,182,182,183,185,187,192,197,202,204,206,208,208,209,211,213,218,223,228,230,232,234
0.35,9664,2.9,1,1,3,6,0,0.01866103,0.058819809,0.100604842,0.216112721,0.354027138,0.533289479,0.623938184,0.729601377,0.85740284,0.85740284,0.891020266,0.96545799,1.040720828,1.23664267,1.453199916,1.720954166,1.851937523,2.001807624,2.180893745,2.180893745,2.226053604,2.323941721,2.42235003,2.676477116,2.954139063,3.286527674,3.446907111,3.62831415,3.840521867,3.840521867,3.893673423,4.007945026,4.122791925,4.415931339,4.731888584,5.112890473,5.296455528,5.505114881,5.750712943,5.750712943,5.811200334,5.941271832,6.071879537,6.402645442,6.757733223,7.177957735,7.379193863,7.607163905,7.872140839,7.872140839,7.93262823,8.062699727,8.193307433,8.524073337,8.879161119,9.299385631,9.500621759,9.728591801,9.993568735,9.993568735,10.05405613,10.18412762,10.31473533,10.64550123,11.00058901,11.42081353,11.62204965,11.8500197,12.11499663,12.11499663,12.17548402,12.30555552,12.43616322,12.76692913,13.12201691,13.54224142,13.74347755,13.97144759,14.23642453,14.23642453,14.29691192,14.42698342,14.55759112,14.88835703,15.24344481,15.66366932,15.86490545,16.09287549,16.35785242
0.35,9664,2.9,1,1,3,5,0,0.020832656,0.067305053,0.116460791,0.257649166,0.434939543,0.671945864,0.791376433,0.927578862,1.09635983,1.09635983,1.139494685,1.236559386,1.335461739,1.595772058,1.89179694,2.262611394,2.439712808,2.636332143,2.873967081,2.873967081,2.9320587,3.059473407,3.188885175,3.525345244,3.897973364,4.352239525,4.565248647,4.799986406,5.081305948,5.081305948,5.149790856,5.301329389,5.454779511,5.852213914,6.288088224,6.814957914,7.061673654,7.329529301,7.651084948,7.651084948,7.728034353,7.896760779,8.067237011,8.505547221,8.983921291,9.566537559,9.839847424,10.13609161,10.49314395,10.49314395,10.57009335,10.73881978,10.90929601,11.34760622,11.82598029,12.40859656,12.68190642,12.9781506,13.33520294,13.33520294,13.41215235,13.58087877,13.75135501,14.18966522,14.66803929,15.25065555,15.52396542,15.8202096,16.17726194,16.17726194,16.25421135,16.42293777,16.59341401,17.03172421,17.51009828,18.09271455,18.36602442,18.6622686,19.01932094,19.01932094,19.09627035,19.26499677,19.435473,19.87378321,20.35215728,20.93477355,21.20808342,21.5043276,21.86137994
0.35,9664,2.9,1,1,3,4,0,0.025046952,0.08257233,0.144925795,0.330061535,0.573235476,0.894768836,1.050391085,1.228777627,1.452005377,1.452005377,1.509047553,1.64266023,1.780722699,2.147930709,2.571113529,3.084865049,3.321218739,3.585587235,3.910293005,3.910293005,3.988952108,4.168282765,4.352929988,4.841532026,5.389080143,6.034230566,6.327183743,6.650298994,7.040477186,7.040477186,7.13406431,7.347044364,7.562855853,8.121977189,8.748863843,9.48535312,9.815379954,10.17700977,10.61244341,10.61244341,10.71620091,10.95059072,11.18906959,11.809978,12.48810802,13.27065515,13.62633859,14.01675202,14.48632139,14.48632139,14.59007889,14.8244687,15.06294757,15.68385598,16.361986,17.14453313,17.50021657,17.89063,18.36019936,18.36019936,18.46395686,18.69834668,18.93682555,19.55773396,20.23586398,21.01841111,21.37409455,21.76450798,22.23407734,22.23407734,22.33783484,22.57222466,22.81070353,23.43161194,24.10974196,24.89228909,25.24797253,25.63838596,26.10795532,26.10795532,26.21171282,26.44610263,26.68458151,27.30548991,27.98361993,28.76616707,29.12185051,29.51226394,29.9818333
0.35,9664,2.9,1,1,3,3,0,0.03049563,0.103125297,0.182513349,0.421744767,0.736588698,1.150063149,1.351799895,1.588921222,1.87905507,1.87905507,1.955838719,2.145101695,2.340119364,2.855600514,3.436333833,4.118771932,4.431325906,4.78513738,5.204649127,5.204649127,5.311023059,5.569374068,5.833169527,6.506674755,7.244303187,8.09556325,8.474725176,8.896221872,9.393971514,9.393971514,9.517935857,9.815483587,10.11808979,10.88956259,11.72316613,12.66824783,13.08811652,13.55561926,14.10837632,14.10837632,14.24579767,14.5730992,14.90537874,15.7485206,16.6613959,17.68779407,18.14007823,18.6450968,19.23843924,19.23843924,19.3758606,19.70316212,20.03544166,20.87858352,21.79145882,22.81785699,23.27014116,23.77515972,24.36850216,24.36850216,24.50592352,24.83322505,25.16550458,26.00864644,26.92152175,27.94791992,28.40020408,28.90522264,29.49856509,29.49856509,29.63598644,29.96328797,30.29556751,31.13870937,32.05158467,33.07798284,33.530267,34.03528557,34.62862801,34.62862801,34.76604936,35.09335089,35.42563043,36.26877229,37.18164759,38.20804576,38.66032992,39.16534849,39.75869093
0.35,9664,2.9,1,1,3,2,0,0.036729776,0.126040657,0.22490128,0.529729781,0.938354754,1.490024392,1.764434829,2.084549226,2.459764166,2.459764166,2.56466313,2.823153229,3.083488385,3.764346259,4.521139612,5.402496524,5.806083839,6.263802596,6.782218896,6.782218896,6.920857655,7.256315857,7.593958115,8.467714613,9.39845455,10.44236763,10.9175956,11.45438511,12.05592712,12.05592712,12.21184947,12.59017268,12.9688584,13.93465242,14.96478715,16.11736965,16.63718319,17.21978971,17.87111953,17.87111953,18.03909194,18.44284297,18.84728329,19.87848157,20.97620325,22.20313481,22.751903,23.36165926,24.04538191,24.04538191,24.21335432,24.61710535,25.02154567,26.05274394,27.15046563,28.37739718,28.92616537,29.53592163,30.21964428,30.21964428,30.38761669,30.79136772,31.19580804,32.22700632,33.324728,34.55165955,35.10042775,35.71018401,36.39390665,36.39390665,36.56187906,36.9656301,37.37007042,38.40126869,39.49899038,40.72592193,41.27469012,41.88444638,42.56816903,42.56816903,42.73614144,43.13989247,43.54433279,44.57553107,45.67325275,46.9001843,47.44895249,48.05870876,48.7424314
0.35,9664,2.9,1,1,3,1,0,0.044686076,0.152126264,0.272872803,0.658222259,1.184438602,1.906710769,2.270162229,2.684981701,3.144383347,3.144383347,3.279970744,3.612532174,3.947558571,4.816833655,5.775768182,6.91518843,7.447187895,8.032832193,8.666292008,8.666292008,8.844138461,9.271428499,9.698971756,10.77917278,11.93601328,13.28434429,13.9056283,14.58166494,15.30318091,15.30318091,15.50466139,15.9842515,16.46131435,17.66705368,18.94866239,20.41078079,21.07871227,21.8021812,22.5706782,22.5706782,22.78220981,23.28105917,23.78013793,25.04472533,26.37409307,27.87482836,28.54745905,29.2718939,30.04263928,30.04263928,30.25417089,30.75302025,31.25209901,32.51668642,33.84605415,35.34678944,36.01942013,36.74385498,37.51460037,37.51460037,37.72613197,38.22498133,38.72406009,39.9886475,41.31801523,42.81875053,43.49138121,44.21581607,44.98656145,44.98656145,45.19809305,45.69694241,46.19602118,47.46060858,48.78997632,50.29071161,50.9633423,51.68777715,52.45852253,52.45852253,52.67005414,53.1689035,53.66798226,54.93256966,56.2619374,57.76267269,58.43530338,59.15973823,59.93048362
0.35,9664,2.9,1,1,2,6,0,0.069080944,0.240773042,0.438160106,1.098995086,2.031016137,3.235838382,3.787807075,4.371612499,4.986117911,4.986117911,5.220350455,5.793333687,6.365234802,7.850887293,9.483535232,11.29604114,12.06695892,12.85328253,13.65462034,13.65462034,13.94536415,14.6473462,15.34461273,17.1145373,19.00280746,21.03256316,21.88285203,22.75149928,23.62092868,23.62092868,23.93094856,24.68149714,25.42899127,27.31197083,29.29578684,31.4122629,32.29216254,33.18787197,34.08557708,34.08557708,34.40433496,35.17085005,35.93073672,37.84862749,39.87542924,42.02658214,42.91686229,43.82772388,44.74244798,44.74244798,45.06120586,45.82772095,46.58760762,48.50549839,50.53230014,52.68345304,53.57373319,54.48459477,55.39931888,55.39931888,55.71807676,56.48459185,57.24447851,59.16236929,61.18917104,63.34032394,64.23060409,65.14146567,66.05618978,66.05618978,66.37494765,67.14146274,67.90134941,69.81924018,71.84604193,73.99719484,74.88747498,75.79833657,76.71306067,76.71306067,77.03181855,77.79833364,78.55822031,80.47611108,82.50291283,84.65406573,85.54434588,86.45520747,87.36993157
0.35,9664,2.9,1,1,2,5,0,0.077101824,0.271825229,0.496594424,1.257960797,2.323494523,3.681711303,4.292764205,4.932662359,5.599746713,5.599746713,5.868067058,6.53105091,7.18917707,8.878857712,10.6993437,12.66185118,13.47974534,14.31499496,15.15650617,15.15650617,15.48278889,16.27479524,17.05087665,18.99903653,21.03299097,23.20258624,24.10482117,25.0114956,25.91922539,25.91922539,26.2682478,27.11509977,27.94337138,30.01487248,32.15492059,34.39898969,35.31725994,36.24092065,37.1683946,37.1683946,37.5191985,38.37067094,39.20419325,41.27056409,43.4173438,45.69594559,46.63648541,47.57699613,48.51463279,48.51463279,48.8654367,49.71690913,50.55043145,52.61680228,54.763582,57.04218378,57.9827236,58.92323433,59.86087099,59.86087099,60.2116749,61.06314733,61.89666964,63.96304048,66.10982019,68.38842198,69.3289618,70.26947253,71.20710918,71.20710918,71.55791309,72.40938552,73.24290784,75.30927868,77.45605839,79.73466017,80.67519999,81.61571072,82.55334738,82.55334738,82.90415129,83.75562372,84.58914603,86.65551687,88.80229658,91.08089837,92.02143819,92.96194892,93.89958557
0.35,9664,2.9,1,1,2,4,0,0.082742048,0.290467375,0.530467682,1.330677038,2.448196645,3.857225195,4.489446093,5.156939251,5.846845584,5.846845584,6.136914395,6.851006643,7.548903883,9.313662074,11.18310979,13.18312584,14.01938482,14.8715651,15.72762146,15.72762146,16.07781968,16.92230973,17.73849106,19.77249208,21.87644378,24.09720179,25.0147177,25.93457464,26.85422078,26.85422078,27.22627638,28.12088046,28.98946849,31.13984749,33.34839281,35.6385559,36.57454332,37.51322424,38.44752034,38.44752034,38.82667033,39.73321998,40.61198064,42.78019511,44.9872177,47.26382058,48.19172696,49.12814952,50.06508457,50.06508457,50.44423456,51.35078421,52.22954487,54.39775934,56.60478193,58.88138481,59.80929119,60.74571376,61.6826488,61.6826488,62.0617988,62.96834845,63.8471091,66.01532358,68.22234617,70.49894905,71.42685542,72.36327799,73.30021304,73.30021304,73.67936303,74.58591268,75.46467334,77.63288781,79.8399104,82.11651328,83.04441966,83.98084222,84.91777727,84.91777727,85.29692726,86.20347691,87.08223757,89.25045204,91.45747463,93.73407751,94.66198389,95.59840646,96.53534151
