U%,Density,Thermal_Conductivity,IV,Digit1,Digit2,Digit3,N_U_235,0,1,5,10,15,20,25,25.001,26,30,35,40,45,50,50.001,51,55,60,65,70,75,75.001,76,80,85,90,95,100,100.001,101,105,110,115,120,125,125.001,126,130,135,140,145,150,150.001,151,155,160,165,170,175,175.001,176,180,185,190,195,200,200.001,201,205,210,215,220,225,225.001,226,230,235,240,245,250,250.001,251,255,260,265,270,275,275.001,276,280,285,290,295,300
0.711,13630,20.9,1,1,1,1,2.36E+20,40.40027013,45.43630713,48.38153548,53.86858559,62.38662589,88.53800417,97.32084387,58.98781566,67.09708965,68.19082519,73.26188785,82.28965627,112.2910479,120.6088149,70.07679281,78.88952613,80.57545572,84.45598471,93.24138269,126.3192995,132.2890875,76.84766869,86.95117013,88.31947913,90.79786544,101.4669347,135.9774742,140.3887802,82.37654965,92.58857327,94.63201881,98.48160108,107.4647365,146.2065244,151.8389413,87.27936499,97.55786472,99.25800738,102.8403822,111.9915989,150.3696953,155.7622879,87.27936499,97.55786472,99.25800738,102.8403822,111.9915989,150.3696953,155.7622879,87.27936499,97.55786472,99.25800738,102.8403822,111.9915989,150.3696953,155.7622879,87.27936499,97.55786472,99.25800738,102.8403822,111.9915989,150.3696953,155.7622879,87.27936499,97.55786472,99.25800738,102.8403822,111.9915989,150.3696953,155.7622879,87.27936499,97.55786472,99.25800738,102.8403822,111.9915989,150.3696953,155.7622879,87.27936499,97.55786472,99.25800738,102.8403822,111.9915989,150.3696953,155.7622879
0.711,13630,20.9,1,1,1,2,2.36E+20,46.65635852,53.48304835,57.88399846,65.77047164,78.0406262,108.1685619,121.994973,73.1819864,85.02854195,87.21859987,93.90608158,105.8586953,141.7452553,151.6818066,88.67258625,103.477317,105.7069471,110.8852562,122.5029934,162.2107449,171.9085828,97.61578761,113.9487345,115.7318393,120.9745972,133.5772564,173.6866529,179.5373145,103.1322521,121.6287362,122.9658309,128.7012026,140.4357259,181.977874,185.5216267,106.598239,124.6111074,125.3489448,132.0055619,144.174201,187.2333362,192.1418668,106.598239,124.6111074,125.3489448,132.0055619,144.174201,187.2333362,192.1418668,106.598239,124.6111074,125.3489448,132.0055619,144.174201,187.2333362,192.1418668,106.598239,124.6111074,125.3489448,132.0055619,144.174201,187.2333362,192.1418668,106.598239,124.6111074,125.3489448,132.0055619,144.174201,187.2333362,192.1418668,106.598239,124.6111074,125.3489448,132.0055619,144.174201,187.2333362,192.1418668,106.598239,124.6111074,125.3489448,132.0055619,144.174201,187.2333362,192.1418668
0.711,13630,20.9,1,1,1,3,2.36E+20,58.13854993,67.67457063,73.59008559,85.39126673,100.1245666,140.4050076,155.877974,95.05478742,113.0296534,114.8587487,122.2558261,135.9676901,182.8035963,194.7782207,113.7658842,135.3008138,137.3535961,142.3526769,154.9374231,204.8516084,212.4537667,125.5204424,148.5389764,149.9137981,155.5665021,167.1599113,216.8737475,222.8432187,130.1701675,155.43194,156.8308764,160.7660393,173.337581,226.6790721,231.6688952,137.267783,163.5582113,164.1786471,166.9187479,178.7854108,232.883036,236.7521417,137.267783,163.5582113,164.1786471,166.9187479,178.7854108,232.883036,236.7521417,137.267783,163.5582113,164.1786471,166.9187479,178.7854108,232.883036,236.7521417,137.267783,163.5582113,164.1786471,166.9187479,178.7854108,232.883036,236.7521417,137.267783,163.5582113,164.1786471,166.9187479,178.7854108,232.883036,236.7521417,137.267783,163.5582113,164.1786471,166.9187479,178.7854108,232.883036,236.7521417,137.267783,163.5582113,164.1786471,166.9187479,178.7854108,232.883036,236.7521417
0.711,13630,20.9,1,1,1,4,2.36E+20,69.33862852,80.2209418,88.28097353,102.5861464,121.3519882,171.8192381,191.8503278,122.9238446,141.372318,145.015695,153.2538202,167.9049212,224.4317795,235.6252133,144.160503,167.8673219,169.3975813,175.5934448,189.0944505,250.1241126,257.5982867,158.037174,183.213173,182.7042692,187.1972593,199.8284151,260.1790343,267.7036496,165.4649244,193.0920355,191.1155799,195.5600936,208.0661675,272.5812627,276.0604903,166.7160002,196.210382,193.446214,196.8745761,210.4691223,272.3659931,277.5211287,166.7160002,196.210382,193.446214,196.8745761,210.4691223,272.3659931,277.5211287,166.7160002,196.210382,193.446214,196.8745761,210.4691223,272.3659931,277.5211287,166.7160002,196.210382,193.446214,196.8745761,210.4691223,272.3659931,277.5211287,166.7160002,196.210382,193.446214,196.8745761,210.4691223,272.3659931,277.5211287,166.7160002,196.210382,193.446214,196.8745761,210.4691223,272.3659931,277.5211287,166.7160002,196.210382,193.446214,196.8745761,210.4691223,272.3659931,277.5211287
0.711,13630,20.9,1,1,1,5,2.36E+20,79.05364653,89.85456162,98.66943057,117.2710964,141.6461877,196.6405457,220.4352527,148.5238114,169.2126583,169.9676514,178.6279384,197.5664344,257.823663,270.264195,178.441779,204.0798935,199.6324816,206.91736,222.142607,284.9785853,292.5420334,190.3036087,215.4541381,214.8124495,219.7680264,235.2638595,299.8832466,306.2143937,197.4156479,224.3071817,220.5708743,225.6643324,245.3931111,305.467227,310.1813504,201.7716817,227.1453253,223.995009,228.4967865,243.6928984,307.7945333,312.3535925,201.7716817,227.1453253,223.995009,228.4967865,243.6928984,307.7945333,312.3535925,201.7716817,227.1453253,223.995009,228.4967865,243.6928984,307.7945333,312.3535925,201.7716817,227.1453253,223.995009,228.4967865,243.6928984,307.7945333,312.3535925,201.7716817,227.1453253,223.995009,228.4967865,243.6928984,307.7945333,312.3535925,201.7716817,227.1453253,223.995009,228.4967865,243.6928984,307.7945333,312.3535925,201.7716817,227.1453253,223.995009,228.4967865,243.6928984,307.7945333,312.3535925
0.711,13630,20.9,1,1,1,6,2.36E+20,90.03432236,102.6296424,115.3792896,139.5526904,172.5265227,224.5696978,248.576664,176.1439634,200.2692338,199.3704684,211.2899321,236.183794,288.1543218,299.2992915,208.4217627,236.1848047,232.0529792,240.8202257,261.8717323,318.3262558,324.9479141,220.2882803,250.1026022,246.5304586,254.1341866,275.3447959,331.3744584,340.9174863,231.1157696,260.2676385,255.2608127,259.6897964,282.2945645,337.7438855,340.4335045,231.7133805,260.7287316,255.6250525,261.4728334,281.7545418,336.9290419,343.3304052,231.7133805,260.7287316,255.6250525,261.4728334,281.7545418,336.9290419,343.3304052,231.7133805,260.7287316,255.6250525,261.4728334,281.7545418,336.9290419,343.3304052,231.7133805,260.7287316,255.6250525,261.4728334,281.7545418,336.9290419,343.3304052,231.7133805,260.7287316,255.6250525,261.4728334,281.7545418,336.9290419,343.3304052,231.7133805,260.7287316,255.6250525,261.4728334,281.7545418,336.9290419,343.3304052,231.7133805,260.7287316,255.6250525,261.4728334,281.7545418,336.9290419,343.3304052
0.711,13630,20.9,1,1,2,1,2.36E+20,127.2481122,149.3449845,168.8336867,209.1659438,251.4362721,287.4640863,316.1910072,266.6059584,309.8013145,299.4600115,313.6794398,338.7702511,355.6211957,370.2622134,309.9364911,357.284808,341.9203397,346.1092582,363.3907695,375.8208405,385.4598966,317.4051782,366.2927456,350.0416127,354.0216915,367.9121647,382.3531754,391.3817086,322.6834421,370.8683319,354.6856364,356.6336222,370.712913,382.1446735,389.7474735,320.5279754,368.4049177,353.2754104,355.1281924,368.5349296,381.6550115,387.9651268,320.5279754,368.4049177,353.2754104,355.1281924,368.5349296,381.6550115,387.9651268,320.5279754,368.4049177,353.2754104,355.1281924,368.5349296,381.6550115,387.9651268,320.5279754,368.4049177,353.2754104,355.1281924,368.5349296,381.6550115,387.9651268,320.5279754,368.4049177,353.2754104,355.1281924,368.5349296,381.6550115,387.9651268,320.5279754,368.4049177,353.2754104,355.1281924,368.5349296,381.6550115,387.9651268,320.5279754,368.4049177,353.2754104,355.1281924,368.5349296,381.6550115,387.9651268
0.711,13630,20.9,1,1,2,2,2.36E+20,130.8458388,150.9295098,173.2123824,215.1443294,256.1667029,288.6689136,321.1366794,287.6137817,324.4529981,311.3555903,319.8842128,341.0363455,354.7593185,375.8507035,321.1407264,361.9492168,346.4269669,352.6775577,367.7227088,376.8759469,388.7272377,334.5221021,377.7335435,359.3507369,359.8375609,374.2602239,381.8027762,390.9339271,338.4792203,381.8041244,362.5228356,363.2120359,376.9368493,384.4492013,393.9833041,337.7982098,380.945033,362.0322354,361.4233002,372.3976386,379.7395411,388.1390396,337.7982098,380.945033,362.0322354,361.4233002,372.3976386,379.7395411,388.1390396,337.7982098,380.945033,362.0322354,361.4233002,372.3976386,379.7395411,388.1390396,337.7982098,380.945033,362.0322354,361.4233002,372.3976386,379.7395411,388.1390396,337.7982098,380.945033,362.0322354,361.4233002,372.3976386,379.7395411,388.1390396,337.7982098,380.945033,362.0322354,361.4233002,372.3976386,379.7395411,388.1390396,337.7982098,380.945033,362.0322354,361.4233002,372.3976386,379.7395411,388.1390396
0.711,13630,20.9,1,1,2,3,2.36E+20,134.2695337,154.3465616,176.8069472,216.9037827,257.9709762,291.1804357,321.6681945,290.0026696,324.1315423,312.4551333,325.1346425,346.8743191,360.9897461,377.36286,329.5706514,370.8995276,355.0086563,358.9016755,370.8973768,378.2902887,391.0599226,339.8312985,382.3342342,364.137898,365.3551678,378.3143937,382.6103972,391.0373945,344.5236062,385.6799921,368.2343029,368.5389902,381.1520023,387.2936786,397.7050702,343.6026357,386.3142756,365.1605548,365.5870615,377.5099802,386.956239,394.6827891,343.6026357,386.3142756,365.1605548,365.5870615,377.5099802,386.956239,394.6827891,343.6026357,386.3142756,365.1605548,365.5870615,377.5099802,386.956239,394.6827891,343.6026357,386.3142756,365.1605548,365.5870615,377.5099802,386.956239,394.6827891,343.6026357,386.3142756,365.1605548,365.5870615,377.5099802,386.956239,394.6827891,343.6026357,386.3142756,365.1605548,365.5870615,377.5099802,386.956239,394.6827891,343.6026357,386.3142756,365.1605548,365.5870615,377.5099802,386.956239,394.6827891
